Fund,Department,Division,Account,Amount,Annotation
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Concessions - Beverages,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease,389.3199999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rental/Lease - Computers,1000.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Outside Printing,320.97, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Copying and Dupl,-1040.96, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Advertising,-3407.5, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Quality of Serv Award,-395.1, 
General Fund,Finance Department,Finance Administration,FICA Tax Expense,4032.5300000000007, 
General Fund,Finance Department,Finance Administration,Employer - LGERS,2686.66, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Full Time Reg,5542.969999999972, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Overtime,-32.79999999999927, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Fines & Fees Non Resid Entry,477.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Compensation - Stand By Pay,614.0, 
General Fund,Finance Department,Finance Administration,Employer - 401(K),1864.1900000000005, 
General Fund,Administration Services Dept,Fleet Management Division,Compensation - Full Time Reg,-6372.030000000028, 
General Fund,Administration Services Dept,Fleet Management Division,Compensation - Overtime,-4743.559999999998, 
General Fund,Administration Services Dept,Fleet Management Division,Compensation - Temp/Seasonal,10154.599999999999, 
General Fund,Administration Services Dept,Fleet Management Division,Compensation - Part Time,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Compensation - Stand By Pay,341.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Compensation - Full Time Reg,7837.359999999986, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Compensation - Part Time,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Bank Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Supplies - Other,-2751.23, 
General Fund,Administration Services Dept,Fleet Management Division,Quality of Serv Award,0.0, 
General Fund,Transportation Department,Transportation Planning Div,FICA Tax Expense,-179.06, 
General Fund,Transportation Department,Transportation Planning Div,Employer - LGERS,-163.06, 
General Fund,Transportation Department,Transportation Planning Div,Employer - 401(K),-118.5, 
General Fund,Finance Department,Finance Administration,OPEB Pension Contributions,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Mileage Reimbursement,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Licenses Taxes & Fees,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Installment Purch Proceed,436730.18, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Other,43.7800000000002, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Safety Equipment,4178.68, 
General Fund,Public Works Department,Streets & Sidewalks Division,Supplies - Uniforms,-2032.3400000000001, 
General Fund,Transportation Department,Traffic Engineering Division,Radio Charges,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Cellular Usage,123.72000000000003, 
General Fund,Transportation Department,Traffic Engineering Division,Telephone,350.0, 
General Fund,Transportation Department,Traffic Engineering Division,Long Distance,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,LGERS Settlement,-42804.67, 
General Fund,Public Works Department,Streets & Sidewalks Division,Fleet Maintenance Charges,-9886.529999999999, 
General Fund,Public Works Department,Streets & Sidewalks Division,Fleet Fuel Charges,-29403.53, 
General Fund,Building Safety Department,Permitting & Inspections Div,Cellular Usage,4874.919999999998, 
General Fund,Public Works Department,Streets & Sidewalks Division,Motor Pool Charges,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Contra Fringe Benefits,16320.91, 
General Fund,Building Safety Department,Permitting & Inspections Div,Telephone,0.0, 
General Fund,Building Safety Department,Permitting & Inspections Div,Long Distance,100.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,River Sculpture Festival,0.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Compensation - Full Time Reg,-37897.55000000005, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Compensation - Temp/Seasonal,32469.68, 
General Fund,Non-Departmental Department,Non-Divisional,Unemployment,30504.699999999997, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Quality of Serv Award,1056.0, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Compensation - Overtime,18983.519999999997, 
General Fund,Fire & Rescue Department,Fire Marshals Office Division,Fire Dept Vacation Deferral,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,CNG Excise Tax,-17607.19, 
General Fund,Non-Departmental Department,Non-Divisional,Group Insurance Expense,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Gas Excise Tax,2786.9199999999983, 
General Fund,Non-Departmental Department,Non-Divisional,Other Fringe Benefits,4386.889999999999, 
General Fund,Administration Services Dept,Sustainability Division,Energy Efficiency Rebate,-21051.43, 
General Fund,Non-Departmental Department,Non-Divisional,Transfer to Insurance Fund,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Natural Gas - CNG,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Water and Sewer,-256.1900000000005, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Administration Division,Compensation - Overtime,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Overtime,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,853.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,0.0, 
General Fund,Police Department,Police Support Division,Water and Sewer,-1170.2800000000007, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Public Works Department,Sanitation Division,Tipping Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Full Time Reg,92.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,1257.95, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Stand By Pay,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Electricity,-3883.4900000000016, 
General Fund,Administration Services Dept,Fleet Management Division,Electricity CNG,6443.11, 
General Fund,Administration Services Dept,Fleet Management Division,Natural Gas,2275.3599999999997, 
General Fund,Information Technology Dept.,Information Services,Dues & Subscriptions,0.0, 
General Fund,Information Technology Dept.,Information Services,Training,0.0, 
General Fund,Finance Department,Accounting Division,Charges to Other Funds,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,163.5, 
General Fund,Police Department,Police Administration Division,Fleet Fuel Charges,11357.79, 
General Fund,Police Department,Police Administration Division,Fleet Maintenance Charges,13253.24, 
General Fund,Police Department,Police Administration Division,Motor Pool Charges,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Interest Expense - COPS 97B,0.0, 
General Fund,Public Works Department,Public Works Administration,Insurance & Bonds,-44068.0, 
General Fund,Police Department,Police Support Division,Water,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Interest Expense - COPS 97C,-12307.72, 
General Fund,Police Department,Police Support Division,Sewer,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Interest Expense - COPS 97A,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Interest Expense,308379.44999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,FICA Tax Expense,1248.9899999999998, 
General Fund,Public Works Department,Public Works Administration,Mach & Equipment,0.0, 
General Fund,Police Department,Police Support Division,Natural Gas,7677.049999999999, 
General Fund,Administration Services Dept,Fleet Management Division,Telephone,71.0, 
General Fund,Transportation Department,Traffic Engineering Division,Services - Postage,-94.27, 
General Fund,Administration Services Dept,Fleet Management Division,Cellular Usage,105.76999999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Telephone,8.0, 
General Fund,Transportation Department,Traffic Engineering Division,Contra Fleet Charges,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Radio Charges,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,-74.0, 
General Fund,Police Department,Police Support Division,Electricity,7228.289999999994, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - FEMA,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - Powell Bill,-75573.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Long Distance,0.0, 
General Fund,Administration Services Dept,Fleet Management Division,Maint & Repair - Equipment,-6348.529999999999, 
General Fund,Public Works Department,Streets & Sidewalks Division,Infrastructure,-278786.8, 
General Fund,Administration Services Dept,Fleet Management Division,Maint & Repair - Buildings,58536.08, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,220.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Cemetary Interment Fees,-1325.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Sales and Services,793.41, 
General Fund,Planning & Development Dept,Planning Services Division,License&Permits Street Vendors,1725.0, 
General Fund,Administration Services Dept,Governing Body Division,Cellular Usage,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,General Business Priv Lic,-205000.0, 
General Fund,Administration Services Dept,Governing Body Division,Telephone,-192.0, 
General Fund,Planning & Development Dept,Planning Services Division,License&Permits Sign Permit,1126.3899999999994, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Advertising,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,-45.879999999999995, 
General Fund,Public Works Department,Sanitation Division,Mach & Equipment,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,7053.25, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,-8920.599999999999, 
General Fund,Public Works Department,Engineering Services Division,Contra Non-Labor,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Purchases for Resale,1670.4899999999998, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rents - Rental Income,1000.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Tipping Fees,13908.34, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Rental/Lease,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,0.0, 
General Fund,Planning & Development Dept,Community Development Division,Supplies - Other,-1328.6400000000003, 
General Fund,Information Technology Dept.,IT Administration Division,Services - Copying and Dupl,1.9600000000000364, 
General Fund,Information Technology Dept.,IT Administration Division,Services - Advertising,304.0, 
General Fund,Information Technology Dept.,IT Administration Division,Professional Services,0.0, 
General Fund,Human Resources Department,Human Resources Administration,Maint & Repair - Equipment,2500.0, 
General Fund,Public Works Department,Sanitation Division,Bad Debts,0.0, 
General Fund,Information Technology Dept.,IT Administration Division,Contracted Services,0.0, 
General Fund,Non-Departmental Department,Non-Divisional,Charges to Other Funds,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Rents - Parks Shelters,0.0, 
General Fund,Planning & Development Dept,Planning Services Division,Other Miscellaneous Revenue,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Licenses Taxes & Fees,160.0, 
General Fund,Finance Department,Purchasing Operations Division,Telephone,51.0, 
General Fund,Information Technology Dept.,Technical Services Division,Fleet Maintenance Charges,0.0, 
General Fund,Information Technology Dept.,Technical Services Division,Fleet Fuel Charges,175.0, 
